scenario,iteration,model,precision,context,fragmentation,decay_applied
E1,1,BinaryGraph,1.0,1.0,0.0,0.9139426798457884
E1,1,HyperGraph,1.0,1.0,0.0,0.9139426798457884
E1,2,BinaryGraph,1.0,1.0,0.0,0.8525010755222666
E1,2,HyperGraph,1.0,1.0,0.0,0.8525010755222666
E1,3,BinaryGraph,1.0,1.0,0.0,0.8775029318369119
E1,3,HyperGraph,1.0,1.0,0.0,0.8775029318369119
E1,4,BinaryGraph,1.0,1.0,0.0,0.8723210738148822
E1,4,HyperGraph,1.0,1.0,0.0,0.8723210738148822
E1,5,BinaryGraph,1.0,1.0,0.0,0.9236471214164013
E1,5,HyperGraph,1.0,1.0,0.0,0.9236471214164013
E1,6,BinaryGraph,1.0,1.0,0.0,0.9176699487422911
E1,6,HyperGraph,1.0,1.0,0.0,0.9176699487422911
E1,7,BinaryGraph,1.0,1.0,0.0,0.9392179567704845
E1,7,HyperGraph,1.0,1.0,0.0,0.9392179567704845
E1,8,BinaryGraph,1.0,1.0,0.0,0.8586938832629416
E1,8,HyperGraph,1.0,1.0,0.0,0.8586938832629416
E1,9,BinaryGraph,1.0,1.0,0.0,0.892192181968527
E1,9,HyperGraph,1.0,1.0,0.0,0.892192181968527
E1,10,BinaryGraph,1.0,1.0,0.0,0.852979721943807
E1,10,HyperGraph,1.0,1.0,0.0,0.852979721943807
E1,11,BinaryGraph,1.0,1.0,0.0,0.8718637974803604
E1,11,HyperGraph,1.0,1.0,0.0,0.8718637974803604
E1,12,BinaryGraph,1.0,1.0,0.0,0.9005355288103362
E1,12,HyperGraph,1.0,1.0,0.0,0.9005355288103362
E1,13,BinaryGraph,1.0,1.0,0.0,0.8526535969683864
E1,13,HyperGraph,1.0,1.0,0.0,0.8526535969683864
E1,14,BinaryGraph,1.0,1.0,0.0,0.8698837650686648
E1,14,HyperGraph,1.0,1.0,0.0,0.8698837650686648
E1,15,BinaryGraph,1.0,1.0,0.0,0.9149884437779523
E1,15,HyperGraph,1.0,1.0,0.0,0.9149884437779523
E1,16,BinaryGraph,1.0,1.0,0.0,0.9044941480603217
E1,16,HyperGraph,1.0,1.0,0.0,0.9044941480603217
E1,17,BinaryGraph,1.0,1.0,0.0,0.8720440622040696
E1,17,HyperGraph,1.0,1.0,0.0,0.8720440622040696
E1,18,BinaryGraph,1.0,1.0,0.0,0.9089265683875909
E1,18,HyperGraph,1.0,1.0,0.0,0.9089265683875909
E1,19,BinaryGraph,1.0,1.0,0.0,0.9309430456677826
E1,19,HyperGraph,1.0,1.0,0.0,0.9309430456677826
E1,20,BinaryGraph,1.0,1.0,0.0,0.8506498759678061
E1,20,HyperGraph,1.0,1.0,0.0,0.8506498759678061
E1,21,BinaryGraph,1.0,1.0,0.0,0.9305819251832808
E1,21,HyperGraph,1.0,1.0,0.0,0.9305819251832808
E1,22,BinaryGraph,1.0,1.0,0.0,0.9198139394988226
E1,22,HyperGraph,1.0,1.0,0.0,0.9198139394988226
E1,23,BinaryGraph,1.0,1.0,0.0,0.8840250516517991
E1,23,HyperGraph,1.0,1.0,0.0,0.8840250516517991
E1,24,BinaryGraph,1.0,1.0,0.0,0.8655479499811781
E1,24,HyperGraph,1.0,1.0,0.0,0.8655479499811781
E1,25,BinaryGraph,1.0,1.0,0.0,0.945721307220678
E1,25,HyperGraph,1.0,1.0,0.0,0.945721307220678
E1,26,BinaryGraph,1.0,1.0,0.0,0.8836594545112626
E1,26,HyperGraph,1.0,1.0,0.0,0.8836594545112626
E1,27,BinaryGraph,1.0,1.0,0.0,0.8592745843380147
E1,27,HyperGraph,1.0,1.0,0.0,0.8592745843380147
E1,28,BinaryGraph,1.0,1.0,0.0,0.8596716376833464
E1,28,HyperGraph,1.0,1.0,0.0,0.8596716376833464
E1,29,BinaryGraph,1.0,1.0,0.0,0.934749436634746
E1,29,HyperGraph,1.0,1.0,0.0,0.934749436634746
E1,30,BinaryGraph,1.0,1.0,0.0,0.9103726031366891
